timestamp_ms,x,y,event_type,button,dx,dy
695762314,1775,1573,move,,0,0
695762322,1771,1575,move,,0,0
695762330,1769,1576,move,,0,0
695762338,1766,1576,move,,0,0
695762346,1763,1576,move,,0,0
695762354,1760,1576,move,,0,0
695762362,1755,1576,move,,0,0
695762370,1751,1576,move,,0,0
695762378,1746,1576,move,,0,0
695762386,1742,1576,move,,0,0
695762394,1737,1576,move,,0,0
695762402,1731,1575,move,,0,0
695762410,1727,1574,move,,0,0
695762418,1720,1572,move,,0,0
695762426,1715,1570,move,,0,0
695762434,1710,1568,move,,0,0
695762442,1707,1567,move,,0,0
695762450,1702,1566,move,,0,0
695762458,1699,1563,move,,0,0
695762466,1694,1561,move,,0,0
695762474,1690,1560,move,,0,0
695762482,1683,1557,move,,0,0
695762490,1678,1555,move,,0,0
695762498,1673,1553,move,,0,0
695762506,1670,1552,move,,0,0
695762514,1668,1551,move,,0,0
695762522,1666,1551,move,,0,0
695762530,1664,1550,move,,0,0
695762538,1662,1549,move,,0,0
695762546,1660,1548,move,,0,0
695762554,1658,1548,move,,0,0
695762562,1656,1547,move,,0,0
695762570,1655,1547,move,,0,0
695762578,1654,1547,move,,0,0
695762586,1653,1547,move,,0,0
695762610,1652,1547,move,,0,0
695762626,1652,1547,move,,0,0
695762642,1651,1547,move,,0,0
695762650,1650,1547,move,,0,0
695762658,1649,1547,move,,0,0
695762666,1648,1547,move,,0,0
695762674,1647,1548,move,,0,0
695762682,1646,1549,move,,0,0
695762698,1646,1550,move,,0,0
695762706,1645,1550,move,,0,0
695762714,1644,1551,move,,0,0
695762722,1643,1551,move,,0,0
695762730,1642,1552,move,,0,0
695762738,1640,1552,move,,0,0
695762746,1638,1553,move,,0,0
695762754,1636,1554,move,,0,0
695762762,1634,1555,move,,0,0
695762770,1632,1556,move,,0,0
695762778,1630,1557,move,,0,0
695762786,1628,1557,move,,0,0
695762794,1626,1558,move,,0,0
695762802,1624,1558,move,,0,0
695762810,1622,1558,move,,0,0
695762818,1621,1558,move,,0,0
695762826,1621,1559,move,,0,0
695763066,1620,1559,move,,0,0
695763210,1620,1559,click_down,left,0,0
695763370,1620,1559,click_up,left,0,0
695763842,1619,1559,move,,0,0
695763850,1618,1558,move,,0,0
695763858,1616,1553,move,,0,0
695763866,1611,1546,move,,0,0
695763874,1605,1535,move,,0,0
695763882,1597,1522,move,,0,0
695763890,1585,1505,move,,0,0
695763898,1573,1486,move,,0,0
695763906,1554,1460,move,,0,0
695763914,1531,1431,move,,0,0
695763922,1508,1401,move,,0,0
